"Sale_Price","Alley","Bedroom_AbvGr","Bldg_Type","Bsmt_Cond","Bsmt_Exposure","Bsmt_Full_Bath","Bsmt_Half_Bath","Bsmt_Qual","Bsmt_Unf_SF","BsmtFin_SF_1","BsmtFin_SF_2","BsmtFin_Type_1","BsmtFin_Type_2","Central_Air","Condition_1","Condition_2","Condition_3","Electrical","Enclosed_Porch","Exter_Cond","Exter_Qual","Exterior_1st","Exterior_2nd","Fence","Fireplace_Qu","Fireplaces","First_Flr_SF","Foundation","Full_Bath","Functional","Garage_Area","Garage_Cars","Garage_Cond","Garage_Finish","Garage_Qual","Garage_Type","Garage_Yr_Blt","Gr_Liv_Area","Half_Bath","Heating","Heating_QC","House_Style","Kitchen_AbvGr","Land_Contour","Land_Slope","Lot_Area","Lot_Area_m2","Lot_Config","Lot_Frontage","Lot_Shape","Low_Qual_Fin_SF","Mas_Vnr_Area","Mas_Vnr_Type","Misc_Feature","Misc_Feature_2","Misc_Val","Mo_Sold","MS_SubClass","MS_Zoning","Neighborhood","Open_Porch_SF","Overall_Cond","Overall_Qual","Paved_Drive","Pool_Area","Pool_QC","Roof_Matl","Roof_Style","Sale_Condition","Sale_Type","Screen_Porch","Second_Flr_SF","Street","Three_season_porch","Total_Bsmt_SF","TotRms_AbvGrd","Utilities","Wood_Deck_SF","Year_Built","Year_Remod_Add","Year_Sold"
175900,NA,3,"OneFam","Typical","No",0,0,"Good",763,0,0,"Unf","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","HdBoard","HdBoard",NA,"Typical",1,763,"PConc",2,"Typ",440,2,"Typical","Fin","Typical","Attchd",1993,1655,1,"GasA","Good","Two_Story",1,"Lvl","Gtl",10000,929.03,"Corner",75,"Slightly_Irregular",0,0,"None",NA,"Othr",0,4,"Two_Story_1946_and_Newer","Residential_Low_Density","Gilbert",84,"Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,892,"Pave",0,763,7,"AllPub",157,1993,1994,2010
185000,NA,3,"OneFam","Typical","No",1,0,"Good",233,935,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Good","Typical","HdBoard","HdBoard","Good_Privacy",NA,0,1187,"PConc",2,"Typ",420,2,"Typical","Fin","Typical","Attchd",1992,1187,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",7980,741.36594,"Inside",NA,"Slightly_Irregular",0,0,"None","Shed","Othr",500,3,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","Gilbert",21,"Good","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1168,6,"AllPub",483,1992,2007,2010
180400,NA,3,"OneFam","Typical","No",0,0,"Good",789,0,0,"Unf","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","VinylSd","VinylSd",NA,"Good",1,789,"PConc",2,"Typ",393,2,"Typical","Fin","Typical","Attchd",1998,1465,1,"GasA","Good","Two_Story",1,"Lvl","Gtl",8402,780.571006,"Inside",63,"Slightly_Irregular",0,0,"None",NA,"Othr",0,5,"Two_Story_1946_and_Newer","Residential_Low_Density","Gilbert",75,"Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,676,"Pave",0,789,7,"AllPub",0,1998,1998,2010
171500,NA,2,"OneFam","Typical","Gd",1,0,"Good",663,637,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","HdBoard","HdBoard",NA,"Poor",1,1341,"PConc",1,"Typ",506,2,"Typical","Unf","Typical","Attchd",1990,1341,1,"GasA","Good","One_Story",1,"Lvl","Gtl",10176,945.380928,"Inside",85,"Regular",0,0,"None",NA,"Othr",0,2,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","Gilbert",0,"Average","Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1300,5,"AllPub",192,1990,1990,2010
212000,NA,1,"TwnhsE","Typical","Av",1,0,"Good",0,368,1120,"GLQ","BLQ","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","HdBoard","HdBoard",NA,NA,0,1502,"PConc",1,"Typ",528,2,"Typical","RFn","Typical","Attchd",1985,1502,1,"GasA","Typical","One_Story",1,"Lvl","Gtl",6820,633.59846,"Corner",NA,"Slightly_Irregular",0,0,"None",NA,"Othr",0,6,"One_Story_PUD_1946_and_Newer","Residential_Low_Density","Stone_Brook",54,"Average","Very_Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",140,0,"Pave",0,1488,4,"AllPub",0,1985,1985,2010
538000,NA,4,"OneFam","Typical","Gd",1,0,"Good",234,1416,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Excellent","CemntBd","Wd Shng",NA,"Good",1,1690,"PConc",3,"Mod",841,3,"Typical","Fin","Typical","BuiltIn",2003,3279,1,"GasA","Excellent","Two_Story",1,"HLS","Mod",53504,4970.682112,"CulDSac",47,"Moderately_Irregular",0,603,"BrkFace",NA,"Othr",0,6,"Two_Story_1946_and_Newer","Residential_Low_Density","Stone_Brook",36,"Average","Very_Good","Paved",0,NA,"CompShg","Hip","Normal","WD ",210,1589,"Pave",0,1650,12,"AllPub",503,2003,2003,2010
164000,NA,4,"OneFam","Typical","Av",0,0,"Good",132,427,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","Wd Sdng","Wd Sdng",NA,NA,0,1080,"Wood",2,"Typ",492,2,"Typical","RFn","Typical","Basment",1988,1752,0,"GasA","Good","One_and_Half_Fin",1,"Bnk","Mod",12134,1127.285002,"Inside",152,"Slightly_Irregular",0,0,"None",NA,"Othr",0,6,"One_and_Half_Story_Finished_All_Ages","Residential_Low_Density","Gilbert",12,"Good","Very_Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,672,"Pave",0,559,8,"AllPub",325,1988,2005,2010
394432,NA,1,"OneFam","Typical","Av",1,0,"Excellent",411,1445,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","VinylSd","VinylSd",NA,"Excellent",1,1856,"PConc",1,"Typ",834,3,"Typical","Fin","Typical","Attchd",2010,1856,1,"GasA","Excellent","One_Story",1,"Lvl","Gtl",11394,1058.536782,"Corner",88,"Regular",0,350,"Stone",NA,"Othr",0,6,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","Stone_Brook",0,"Poor","Excellent","Paved",0,NA,"CompShg","Hip","Partial","New",0,0,"Pave",0,1856,8,"AllPub",113,2010,2010,2010
141000,NA,2,"OneFam","Typical","No",0,0,"Typical",744,120,0,"LwQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","VinylSd","VinylSd",NA,NA,0,864,"CBlock",1,"Typ",400,2,"Typical","Unf","Typical","Detchd",1951,864,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",19138,1777.977614,"Corner",140,"Regular",0,0,"None",NA,"Othr",0,6,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","Gilbert",0,"Average","Below_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,864,4,"AllPub",0,1951,1951,2010
210000,NA,3,"OneFam","Typical","No",1,0,"Good",589,790,163,"ALQ","Rec","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Plywood","Minimum_Privacy","Typical",2,2073,"CBlock",2,"Min1",500,2,"Typical","Unf","Typical","Attchd",1978,2073,0,"GasA","Typical","One_Story",1,"Lvl","Gtl",13175,1223.997025,"Inside",85,"Regular",0,119,"Stone",NA,"Othr",0,2,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","Northwest_Ames",0,"Above_Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1542,7,"AllPub",349,1978,1988,2010
190000,NA,3,"OneFam","Typical","No",0,0,"Good",1139,705,0,"BLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Plywood","Minimum_Privacy","Typical",1,1844,"CBlock",2,"Typ",546,2,"Typical","RFn","Typical","Attchd",1977,1844,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",11751,1091.703153,"Inside",105,"Slightly_Irregular",0,480,"BrkFace",NA,"Othr",0,1,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","Northwest_Ames",122,"Above_Average","Above_Average","Paved",0,NA,"CompShg","Hip","Normal","COD",0,0,"Pave",0,1844,7,"AllPub",0,1977,1977,2010
170000,NA,3,"OneFam","Typical","Gd",1,0,"Good",0,885,168,"GLQ","LwQ","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Plywood","Minimum_Privacy","Typical",2,1173,"CBlock",2,"Typ",528,2,"Typical","RFn","Typical","Attchd",1974,1173,0,"GasA","Typical","SFoyer",1,"Lvl","Gtl",10625,987.094375,"Inside",85,"Regular",0,81,"BrkFace",NA,"Othr",0,1,"Split_Foyer","Residential_Low_Density","Northwest_Ames",120,"Above_Average","Good","Paved",0,NA,"CompShg","Gable","Family","WD ",0,0,"Pave",0,1053,6,"AllPub",0,1974,1974,2010
216000,NA,3,"OneFam","Typical","No",1,0,"Good",281,533,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","VinylSd","VinylSd",NA,NA,0,814,"PConc",2,"Typ",663,2,"Typical","RFn","Typical","Attchd",2000,1674,1,"GasA","Excellent","Two_Story",1,"Lvl","Gtl",7500,696.7725,"Inside",NA,"Regular",0,0,"None",NA,"Othr",0,1,"Two_Story_1946_and_Newer","Floating_Village_Residential","Somerset",96,"Average","Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,860,"Pave",0,814,7,"AllPub",0,2000,2000,2010
149000,NA,2,"OneFam","Typical","No",1,0,"Typical",426,578,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Wd Sdng","Wd Sdng",NA,"Typical",1,1004,"CBlock",1,"Typ",480,2,"Typical","Fin","Typical","Attchd",1970,1004,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",11241,1044.322623,"CulDSac",NA,"Slightly_Irregular",0,180,"BrkFace","Shed","Othr",700,3,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",0,"Good","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1004,5,"AllPub",0,1970,1970,2010
149900,NA,3,"OneFam","Typical","No",1,0,"Typical",344,734,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","VinylSd","VinylSd",NA,"Fair",1,1078,"CBlock",1,"Typ",500,2,"Typical","Fin","Typical","Attchd",1971,1078,1,"GasA","Excellent","One_Story",1,"Lvl","Gtl",12537,1164.724911,"CulDSac",NA,"Slightly_Irregular",0,0,"None",NA,"Othr",0,4,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",0,"Above_Average","Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1078,6,"AllPub",0,1971,2008,2010
142000,NA,3,"OneFam","Typical","No",1,0,"Typical",281,775,0,"BLQ","Unf","Y","Norm","Norm","Norm","SBrkr",184,"Typical","Typical","VinylSd","VinylSd",NA,"Fair",1,1056,"CBlock",1,"Typ",304,1,"Typical","Unf","Typical","Attchd",1968,1056,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",8450,785.03035,"Inside",65,"Regular",0,0,"None",NA,"Othr",0,7,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",85,"Above_Average","Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1056,6,"AllPub",0,1968,1968,2010
126000,NA,2,"OneFam","Typical","No",1,0,"Typical",0,804,78,"ALQ","Rec","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Plywood","Minimum_Privacy",NA,0,882,"CBlock",1,"Typ",525,2,"Typical","Fin","Typical","Attchd",1970,882,0,"GasA","Typical","One_Story",1,"Lvl","Gtl",8400,780.3852,"Corner",70,"Regular",0,0,"None",NA,"Othr",0,4,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",0,"Average","Below_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,882,4,"AllPub",240,1970,1970,2010
115000,NA,3,"OneFam","Typical","No",0,0,"Typical",432,432,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","HdBoard","HdBoard",NA,"Poor",1,864,"CBlock",1,"Typ",0,0,NA,NA,NA,NA,NA,864,0,"GasA","Typical","One_Story",1,"Lvl","Gtl",10500,975.4815,"FR2",70,"Regular",0,0,"None",NA,"Othr",0,4,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",0,"Average","Below_Average","Paved",0,NA,"CompShg","Gable","Normal","ConLI",0,0,"Pave",0,864,5,"AllPub",0,1971,1971,2010
184000,NA,2,"TwnhsE","Typical","No",1,0,"Good",354,1051,0,"GLQ","BLQ","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","MetalSd","MetalSd",NA,"Fair",1,1337,"PConc",2,"Typ",511,2,"Typical","Fin","Typical","Attchd",1999,1337,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",5858,544.225774,"FR2",26,"Slightly_Irregular",0,0,"None",NA,"Othr",0,6,"One_Story_PUD_1946_and_Newer","Residential_High_Density","North_Ames",68,"Average","Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1405,5,"AllPub",203,1999,1999,2010
96000,NA,2,"Twnhs","Typical","No",0,0,"Typical",327,156,0,"Rec","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","HdBoard","HdBoard",NA,NA,0,483,"CBlock",1,"Typ",264,1,"Typical","Unf","Typical","Detchd",1971,987,1,"GasA","Typical","Two_Story",1,"Lvl","Gtl",1680,156.07704,"Inside",21,"Regular",0,504,"BrkFace",NA,"Othr",0,2,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density","Briardale",0,"Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","COD",0,504,"Pave",0,483,5,"AllPub",275,1971,1971,2010
105500,NA,3,"Twnhs","Typical","No",0,0,"Typical",225,300,0,"Rec","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","HdBoard","HdBoard",NA,NA,0,525,"CBlock",1,"Typ",320,1,"Typical","Unf","Typical","Detchd",1997,1092,1,"GasA","Typical","Two_Story",1,"Lvl","Gtl",1680,156.07704,"Inside",21,"Regular",0,492,"BrkFace",NA,"Othr",0,3,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density","Briardale",0,"Average","Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,567,"Pave",0,525,6,"AllPub",0,1971,1971,2010
88000,NA,3,"Twnhs","Typical","No",0,0,"Typical",525,0,0,"Unf","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","HdBoard","ImStucc",NA,NA,0,525,"CBlock",1,"Typ",264,1,"Typical","Unf","Typical","Detchd",1971,1092,1,"GasA","Typical","Two_Story",1,"Lvl","Gtl",1680,156.07704,"Inside",21,"Regular",0,381,"BrkFace",NA,"Othr",0,3,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density","Briardale",0,"Average","Above_Average","Paved",0,NA,"CompShg","Gable","Family","WD ",0,567,"Pave",0,525,6,"AllPub",0,1971,1971,2010
127500,NA,2,"TwnhsE","Typical","No",0,0,"Good",709,360,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Plywood",NA,"Fair",1,1069,"CBlock",2,"Typ",440,2,"Typical","RFn","Typical","Attchd",1977,1069,0,"GasA","Typical","One_Story",1,"Lvl","Gtl",4043,375.606829,"Inside",53,"Regular",0,0,"None",NA,"Othr",0,7,"One_Story_PUD_1946_and_Newer","Residential_Low_Density","Northpark_Villa",55,"Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",165,0,"Pave",0,1069,4,"AllPub",0,1977,1977,2010
149900,NA,3,"Twnhs","Typical","No",0,0,"Typical",341,514,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Brk Cmn",NA,"Typical",1,855,"CBlock",2,"Typ",440,2,"Typical","Unf","Typical","Attchd",1975,1456,1,"GasA","Typical","Two_Story",1,"Lvl","Gtl",2280,211.81884,"FR2",24,"Regular",0,0,"None",NA,"Othr",0,6,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density","Northpark_Villa",0,"Above_Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,601,"Pave",0,855,6,"AllPub",173,1975,1975,2010
120000,NA,2,"Twnhs","Typical","No",0,0,"Good",836,0,0,"Unf","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Brk Cmn",NA,NA,0,836,"CBlock",1,"Typ",308,1,"Typical","Unf","Typical","Attchd",1975,836,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",2280,211.81884,"FR2",24,"Regular",0,0,"None",NA,"Othr",0,6,"One_Story_PUD_1946_and_Newer","Residential_Low_Density","Northpark_Villa",30,"Above_Average","Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,836,4,"AllPub",0,1975,1975,2010
146000,NA,3,"Twnhs","Typical","No",0,0,"Good",544,311,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Plywood","Brk Cmn",NA,"Typical",1,855,"CBlock",2,"Typ",440,2,"Typical","Unf","Typical","Attchd",1978,1456,1,"GasA","Fair","Two_Story",1,"Lvl","Gtl",2280,211.81884,"Inside",24,"Regular",0,0,"None",NA,"Othr",0,7,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density","Northpark_Villa",0,"Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,601,"Pave",0,855,7,"AllPub",26,1978,1978,2010
376162,NA,3,"OneFam","Typical","No",0,0,"Excellent",1590,0,0,"Unf","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Excellent","VinylSd","VinylSd",NA,"Good",1,1627,"PConc",2,"Typ",751,3,"Typical","Fin","Typical","Attchd",2009,2334,1,"GasA","Excellent","Two_Story",1,"Lvl","Gtl",12858,1194.546774,"Inside",102,"Slightly_Irregular",0,162,"Stone",NA,"Othr",0,1,"Two_Story_1946_and_Newer","Residential_Low_Density","Northridge_Heights",133,"Average","Excellent","Paved",0,NA,"CompShg","Gable","Partial","New",0,707,"Pave",0,1590,10,"AllPub",144,2009,2010,2010
306000,NA,3,"OneFam","Typical","No",1,0,"Excellent",486,1218,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","VinylSd","VinylSd",NA,"Good",1,1704,"PConc",2,"Typ",772,3,"Typical","RFn","Typical","Attchd",2008,1704,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",11478,1066.340634,"Inside",98,"Regular",0,200,"Stone",NA,"Othr",0,5,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","Northridge_Heights",50,"Average","Very_Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1704,7,"AllPub",0,2007,2008,2010
